,$,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
2022-06,"107,677",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2022-07,"915,900",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
2022-08,"3,182,186",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.68%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.13%,4.08%,4.08%,4.02%,4.02%,3.96%,3.89%,3.85%,3.85%,3.85%,3.85%,3.85%,6.98%,6.98%,6.98%,6.98%,6.98%,,
2022-09,"5,472,540",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.32%,2.32%,2.30%,2.30%,2.30%,2.30%,2.30%,2.30%,2.30%,2.30%,2.30%,2.30%,2.30%,2.30%,2.30%,3.98%,3.98%,3.98%,3.98%,3.98%,3.98%,3.98%,3.98%,3.38%,4.71%,4.67%,4.49%,4.32%,,,
2022-10,"5,417,393",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.98%,,,,
2022-11,"5,071,811",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.40%,2.31%,2.31%,2.31%,2.30%,0.66%,0.66%,0.66%,0.66%,0.66%,2.98%,2.98%,2.98%,2.98%,2.98%,2.98%,4.79%,4.79%,5.67%,5.67%,5.67%,3.87%,3.87%,3.87%,2.98%,2.98%,2.98%,2.98%,3.94%,,,,,
2022-12,"7,175,036",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.48%,8.36%,8.36%,8.31%,8.31%,8.31%,8.31%,8.31%,8.31%,8.31%,8.31%,8.31%,8.31%,8.31%,8.31%,8.31%,8.31%,8.31%,9.57%,9.57%,9.57%,9.57%,,,,,,
2023-01,"10,530,727",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.96%,3.23%,3.23%,3.23%,4.09%,4.04%,5.67%,5.67%,5.67%,5.67%,5.67%,5.67%,5.67%,5.67%,5.77%,6.45%,7.70%,9.15%,9.10%,9.06%,10.11%,10.06%,10.02%,9.95%,10.03%,9.11%,9.08%,,,,,,,
2023-02,"11,923,880",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.18%,1.04%,1.04%,1.04%,1.04%,1.04%,2.23%,2.23%,2.23%,4.16%,4.14%,4.12%,4.12%,5.32%,5.32%,5.32%,5.32%,5.24%,5.21%,5.21%,5.19%,5.19%,5.12%,5.12%,5.12%,5.12%,5.12%,,,,,,,,
2023-03,"17,340,275",0.00%,0.00%,0.00%,0.00%,0.82%,0.82%,1.50%,1.50%,1.50%,1.50%,2.82%,1.50%,3.09%,4.79%,4.79%,5.73%,6.30%,6.92%,6.92%,6.48%,7.63%,7.63%,7.98%,7.96%,8.40%,9.32%,10.20%,9.82%,9.75%,9.71%,9.57%,10.27%,,,,,,,,,
